TANGGAL;KOMODITI;SATUAN;HARGA;;;;;;
04/06/2018;Daging Sapi Lokal Has Dalam;Kg;146667;;;;;;
04/06/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;120000;;;;;;
04/06/2018;Daging Sapi Lokal Paha Belakang;Kg;119660;;;;;;
04/06/2018;Ikan Teri Asin;Kg;110000;;;;;;
04/06/2018;Daging Sapi Impor Beku;Kg;85000;;;;;;
04/06/2018;Ayam Kampung;ekor;82075;;;;;;
04/06/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;81667;;;;;;
04/06/2018;Daging Sapi Lokal Daging Tetelan;Kg;75000;;;;;;
04/06/2018;Susu Bubuk Kaleng Merk Bendera;buah;43933;;;;;;
04/06/2018;Cabai Merah Besar;Kg;42340;;;;;;
04/06/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42267;;;;;;
04/06/2018;Bawang Merah (Medium);Kg;38940;;;;;;
04/06/2018;Ikan Kembung;Kg;37700;;;;;;
04/06/2018;Ayam Boiler;ekor;36640;;;;;;
04/06/2018;Bawang Putih Impor (Kating);Kg;33540;;;;;;
04/06/2018;Cabai Rawit Merah;Kg;33260;;;;;;
04/06/2018;Cabai Rawit Hijau;Kg;32840;;;;;;
04/06/2018;Cabai Merah Kriting;Kg;32640;;;;;;
04/06/2018;Kacang Tanah;Kg;25040;;;;;;
04/06/2018;Bawang Putih Impor (Honan);Kg;25000;;;;;;
04/06/2018;Telur Ayam Ras;Kg;24560;;;;;;
04/06/2018;Kacang Hijau;Kg;22460;;;;;;
04/06/2018;Jagung Pipilan Kecil;Kg;15100;;;;;;
04/06/2018;Minyak Goreng Bimoli Botol;Liter;13290;;;;;;
04/06/2018;Gula Pasir;Kg;13010;;;;;;
04/06/2018;Beras Premium;Kg;12750;;;;;;
04/06/2018;Garam Beryodium Halus;Kg;12360;;;;;;
04/06/2018;Minyak Goreng Curah;Liter;12350;;;;;;
04/06/2018;Kacang Kedelai Eks Impor;Kg;11800;;;;;;
04/06/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11600;;;;;;
04/06/2018;Kacang Kedelai Lokal;Kg;11067;;;;;;
04/06/2018;Beras Medium;Kg;10780;;;;;;
04/06/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10440;;;;;;
04/06/2018;Tepung Terigu Segitiga Biru;Kg;10200;;;;;;
04/06/2018;Ketela Pohon;Kg;5400;;;;;;
04/06/2018;Garam Beryodium Bata;250 gr;3860;;;;;;
04/06/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
04/06/2018;Telur Ayam Kampung;butir;2280;;;;;;
05/06/2018;Daging Sapi Lokal Has Dalam;Kg;151667;;;;;;
05/06/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;123333;;;;;;
05/06/2018;Daging Sapi Lokal Paha Belakang;Kg;120660;;;;;;
05/06/2018;Ikan Teri Asin;Kg;107000;;;;;;
05/06/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;101667;;;;;;
05/06/2018;Daging Sapi Impor Beku;Kg;85000;;;;;;
05/06/2018;Ayam Kampung;ekor;82767;;;;;;
05/06/2018;Daging Sapi Lokal Daging Tetelan;Kg;77500;;;;;;
05/06/2018;Susu Bubuk Kaleng Merk Bendera;buah;43933;;;;;;
05/06/2018;Cabai Merah Besar;Kg;43840;;;;;;
05/06/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42267;;;;;;
05/06/2018;Ikan Kembung;Kg;41700;;;;;;
05/06/2018;Bawang Merah (Medium);Kg;41240;;;;;;
05/06/2018;Ayam Boiler;ekor;38140;;;;;;
05/06/2018;Bawang Putih Impor (Kating);Kg;36840;;;;;;
05/06/2018;Cabai Rawit Merah;Kg;36660;;;;;;
05/06/2018;Cabai Rawit Hijau;Kg;36640;;;;;;
05/06/2018;Cabai Merah Kriting;Kg;34640;;;;;;
05/06/2018;Bawang Putih Impor (Honan);Kg;32500;;;;;;
05/06/2018;Telur Ayam Ras;Kg;24660;;;;;;
05/06/2018;Kacang Tanah;Kg;24540;;;;;;
05/06/2018;Kacang Hijau;Kg;22860;;;;;;
05/06/2018;Jagung Pipilan Kecil;Kg;15100;;;;;;
05/06/2018;Minyak Goreng Bimoli Botol;Liter;13690;;;;;;
05/06/2018;Gula Pasir;Kg;12810;;;;;;
05/06/2018;Beras Premium;Kg;12750;;;;;;
05/06/2018;Minyak Goreng Curah;Liter;12400;;;;;;
05/06/2018;Garam Beryodium Halus;Kg;11660;;;;;;
05/06/2018;Kacang Kedelai Eks Impor;Kg;11550;;;;;;
05/06/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11500;;;;;;
05/06/2018;Beras Medium;Kg;10820;;;;;;
05/06/2018;Kacang Kedelai Lokal;Kg;10733;;;;;;
05/06/2018;Tepung Terigu Segitiga Biru;Kg;10600;;;;;;
05/06/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10140;;;;;;
05/06/2018;Ketela Pohon;Kg;5600;;;;;;
05/06/2018;Garam Beryodium Bata;250 gr;3900;;;;;;
05/06/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
05/06/2018;Telur Ayam Kampung;butir;2190;;;;;;
06/06/2018;Daging Sapi Lokal Has Dalam;Kg;150000;;;;;;
06/06/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;123333;;;;;;
06/06/2018;Daging Sapi Lokal Paha Belakang;Kg;121660;;;;;;
06/06/2018;Ikan Teri Asin;Kg;105500;;;;;;
06/06/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;100000;;;;;;
06/06/2018;Ayam Kampung;ekor;90825;;;;;;
06/06/2018;Daging Sapi Impor Beku;Kg;85000;;;;;;
06/06/2018;Daging Sapi Lokal Daging Tetelan;Kg;73333;;;;;;
06/06/2018;Susu Bubuk Kaleng Merk Bendera;buah;43933;;;;;;
06/06/2018;Cabai Merah Besar;Kg;43840;;;;;;
06/06/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42267;;;;;;
06/06/2018;Ikan Kembung;Kg;39200;;;;;;
06/06/2018;Ayam Boiler;ekor;38740;;;;;;
06/06/2018;Bawang Merah (Medium);Kg;38740;;;;;;
06/06/2018;Bawang Putih Impor (Kating);Kg;35340;;;;;;
06/06/2018;Cabai Rawit Merah;Kg;34160;;;;;;
06/06/2018;Cabai Rawit Hijau;Kg;33340;;;;;;
06/06/2018;Cabai Merah Kriting;Kg;32640;;;;;;
06/06/2018;Bawang Putih Impor (Honan);Kg;30000;;;;;;
06/06/2018;Kacang Tanah;Kg;24740;;;;;;
06/06/2018;Telur Ayam Ras;Kg;24460;;;;;;
06/06/2018;Kacang Hijau;Kg;22260;;;;;;
06/06/2018;Jagung Pipilan Kecil;Kg;15100;;;;;;
06/06/2018;Minyak Goreng Bimoli Botol;Liter;13490;;;;;;
06/06/2018;Gula Pasir;Kg;13210;;;;;;
06/06/2018;Beras Premium;Kg;12875;;;;;;
06/06/2018;Minyak Goreng Curah;Liter;12400;;;;;;
06/06/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12400;;;;;;
06/06/2018;Kacang Kedelai Eks Impor;Kg;11675;;;;;;
06/06/2018;Beras Medium;Kg;10970;;;;;;
06/06/2018;Kacang Kedelai Lokal;Kg;10733;;;;;;
06/06/2018;Garam Beryodium Halus;Kg;10360;;;;;;
06/06/2018;Tepung Terigu Segitiga Biru;Kg;10200;;;;;;
06/06/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10140;;;;;;
06/06/2018;Ketela Pohon;Kg;5400;;;;;;
06/06/2018;Garam Beryodium Bata;250 gr;3680;;;;;;
06/06/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
06/06/2018;Telur Ayam Kampung;butir;2190;;;;;;
07/06/2018;Daging Sapi Lokal Has Dalam;Kg;140000;;;;;;
07/06/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;130000;;;;;;
07/06/2018;Daging Sapi Lokal Paha Belakang;Kg;119660;;;;;;
07/06/2018;Ikan Teri Asin;Kg;110000;;;;;;
07/06/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;93333;;;;;;
07/06/2018;Daging Sapi Impor Beku;Kg;85000;;;;;;
07/06/2018;Ayam Kampung;ekor;80825;;;;;;
07/06/2018;Daging Sapi Lokal Daging Tetelan;Kg;80000;;;;;;
07/06/2018;Susu Bubuk Kaleng Merk Bendera;buah;43933;;;;;;
07/06/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42267;;;;;;
07/06/2018;Bawang Merah (Medium);Kg;40540;;;;;;
07/06/2018;Cabai Merah Besar;Kg;38540;;;;;;
07/06/2018;Ikan Kembung;Kg;36900;;;;;;
07/06/2018;Ayam Boiler;ekor;35640;;;;;;
07/06/2018;Cabai Rawit Merah;Kg;34160;;;;;;
07/06/2018;Cabai Rawit Hijau;Kg;33340;;;;;;
07/06/2018;Bawang Putih Impor (Kating);Kg;33140;;;;;;
07/06/2018;Cabai Merah Kriting;Kg;32840;;;;;;
07/06/2018;Bawang Putih Impor (Honan);Kg;28000;;;;;;
07/06/2018;Kacang Tanah;Kg;25740;;;;;;
07/06/2018;Telur Ayam Ras;Kg;24260;;;;;;
07/06/2018;Kacang Hijau;Kg;21560;;;;;;
07/06/2018;Jagung Pipilan Kecil;Kg;15100;;;;;;
07/06/2018;Minyak Goreng Bimoli Botol;Liter;13340;;;;;;
07/06/2018;Beras Premium;Kg;13125;;;;;;
07/06/2018;Gula Pasir;Kg;12710;;;;;;
07/06/2018;Minyak Goreng Curah;Liter;12300;;;;;;
07/06/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11500;;;;;;
07/06/2018;Garam Beryodium Halus;Kg;11360;;;;;;
07/06/2018;Kacang Kedelai Eks Impor;Kg;11175;;;;;;
07/06/2018;Beras Medium;Kg;10920;;;;;;
07/06/2018;Kacang Kedelai Lokal;Kg;10400;;;;;;
07/06/2018;Tepung Terigu Segitiga Biru;Kg;10300;;;;;;
07/06/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10240;;;;;;
07/06/2018;Ketela Pohon;Kg;5400;;;;;;
07/06/2018;Garam Beryodium Bata;250 gr;3760;;;;;;
07/06/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
07/06/2018;Telur Ayam Kampung;butir;2300;;;;;;
08/06/2018;Daging Sapi Lokal Has Dalam;Kg;150000;;;;;;
08/06/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;130000;;;;;;
08/06/2018;Daging Sapi Lokal Paha Belakang;Kg;120660;;;;;;
08/06/2018;Ikan Teri Asin;Kg;109000;;;;;;
08/06/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;103333;;;;;;
08/06/2018;Daging Sapi Impor Beku;Kg;85000;;;;;;
08/06/2018;Ayam Kampung;ekor;82075;;;;;;
08/06/2018;Daging Sapi Lokal Daging Tetelan;Kg;71667;;;;;;
08/06/2018;Susu Bubuk Kaleng Merk Bendera;buah;43933;;;;;;
08/06/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42267;;;;;;
08/06/2018;Bawang Merah (Medium);Kg;39540;;;;;;
08/06/2018;Cabai Merah Besar;Kg;39040;;;;;;
08/06/2018;Ikan Kembung;Kg;38700;;;;;;
08/06/2018;Cabai Rawit Merah;Kg;35860;;;;;;
08/06/2018;Ayam Boiler;ekor;35540;;;;;;
08/06/2018;Bawang Putih Impor (Kating);Kg;33640;;;;;;
08/06/2018;Cabai Merah Kriting;Kg;32640;;;;;;
08/06/2018;Cabai Rawit Hijau;Kg;32340;;;;;;
08/06/2018;Bawang Putih Impor (Honan);Kg;28000;;;;;;
08/06/2018;Kacang Tanah;Kg;24940;;;;;;
08/06/2018;Telur Ayam Ras;Kg;24060;;;;;;
08/06/2018;Kacang Hijau;Kg;21860;;;;;;
08/06/2018;Jagung Pipilan Kecil;Kg;15100;;;;;;
08/06/2018;Minyak Goreng Bimoli Botol;Liter;13440;;;;;;
08/06/2018;Gula Pasir;Kg;12910;;;;;;
08/06/2018;Beras Premium;Kg;12625;;;;;;
08/06/2018;Minyak Goreng Curah;Liter;12300;;;;;;
08/06/2018;Kacang Kedelai Eks Impor;Kg;11925;;;;;;
08/06/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11600;;;;;;
08/06/2018;Garam Beryodium Halus;Kg;11160;;;;;;
08/06/2018;Beras Medium;Kg;11030;;;;;;
08/06/2018;Kacang Kedelai Lokal;Kg;10733;;;;;;
08/06/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10140;;;;;;
08/06/2018;Tepung Terigu Segitiga Biru;Kg;10000;;;;;;
08/06/2018;Ketela Pohon;Kg;5300;;;;;;
08/06/2018;Garam Beryodium Bata;250 gr;3740;;;;;;
08/06/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
08/06/2018;Telur Ayam Kampung;butir;2290;;;;;;
21/06/2018;Daging Sapi Lokal Has Dalam;Kg;153333;;;;;;
21/06/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;130000;;;;;;
21/06/2018;Daging Sapi Lokal Paha Belakang;Kg;121660;;;;;;
21/06/2018;Ikan Teri Asin;Kg;107000;;;;;;
21/06/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;96667;;;;;;
21/06/2018;Daging Sapi Impor Beku;Kg;90000;;;;;;
21/06/2018;Ayam Kampung;ekor;85825;;;;;;
21/06/2018;Daging Sapi Lokal Daging Tetelan;Kg;83333;;;;;;
21/06/2018;Susu Bubuk Kaleng Merk Bendera;buah;43933;;;;;;
21/06/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42267;;;;;;
21/06/2018;Bawang Merah (Medium);Kg;40540;;;;;;
21/06/2018;Cabai Merah Besar;Kg;40540;;;;;;
21/06/2018;Ikan Kembung;Kg;38200;;;;;;
21/06/2018;Ayam Boiler;ekor;37540;;;;;;
21/06/2018;Cabai Rawit Merah;Kg;37360;;;;;;
21/06/2018;Bawang Putih Impor (Kating);Kg;35640;;;;;;
21/06/2018;Cabai Merah Kriting;Kg;33340;;;;;;
21/06/2018;Cabai Rawit Hijau;Kg;30640;;;;;;
21/06/2018;Bawang Putih Impor (Honan);Kg;30000;;;;;;
21/06/2018;Kacang Tanah;Kg;26140;;;;;;
21/06/2018;Telur Ayam Ras;Kg;24560;;;;;;
21/06/2018;Kacang Hijau;Kg;22460;;;;;;
21/06/2018;Jagung Pipilan Kecil;Kg;15100;;;;;;
21/06/2018;Minyak Goreng Bimoli Botol;Liter;13490;;;;;;
21/06/2018;Beras Premium;Kg;13000;;;;;;
21/06/2018;Gula Pasir;Kg;12960;;;;;;
21/06/2018;Minyak Goreng Curah;Liter;12500;;;;;;
21/06/2018;Kacang Kedelai Eks Impor;Kg;12175;;;;;;
21/06/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11500;;;;;;
21/06/2018;Beras Medium;Kg;10920;;;;;;
21/06/2018;Kacang Kedelai Lokal;Kg;10733;;;;;;
21/06/2018;Garam Beryodium Halus;Kg;10560;;;;;;
21/06/2018;Tepung Terigu Segitiga Biru;Kg;10200;;;;;;
21/06/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;9640;;;;;;
21/06/2018;Ketela Pohon;Kg;5300;;;;;;
21/06/2018;Garam Beryodium Bata;250 gr;3880;;;;;;
21/06/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
21/06/2018;Telur Ayam Kampung;butir;2250;;;;;;
22/06/2018;Daging Sapi Lokal Has Dalam;Kg;153333;;;;;;
22/06/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;130000;;;;;;
22/06/2018;Daging Sapi Lokal Paha Belakang;Kg;121660;;;;;;
22/06/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;103333;;;;;;
22/06/2018;Ikan Teri Asin;Kg;103000;;;;;;
22/06/2018;Daging Sapi Impor Beku;Kg;90000;;;;;;
22/06/2018;Ayam Kampung;ekor;84433;;;;;;
22/06/2018;Daging Sapi Lokal Daging Tetelan;Kg;78333;;;;;;
22/06/2018;Susu Bubuk Kaleng Merk Bendera;buah;43933;;;;;;
22/06/2018;Cabai Merah Besar;Kg;43540;;;;;;
22/06/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42267;;;;;;
22/06/2018;Bawang Merah (Medium);Kg;41440;;;;;;
22/06/2018;Cabai Rawit Merah;Kg;41060;;;;;;
22/06/2018;Ikan Kembung;Kg;39200;;;;;;
22/06/2018;Bawang Putih Impor (Kating);Kg;39140;;;;;;
22/06/2018;Cabai Rawit Hijau;Kg;37640;;;;;;
22/06/2018;Bawang Putih Impor (Honan);Kg;36500;;;;;;
22/06/2018;Cabai Merah Kriting;Kg;36340;;;;;;
22/06/2018;Ayam Boiler;ekor;34540;;;;;;
22/06/2018;Kacang Tanah;Kg;26440;;;;;;
22/06/2018;Telur Ayam Ras;Kg;24960;;;;;;
22/06/2018;Kacang Hijau;Kg;21660;;;;;;
22/06/2018;Jagung Pipilan Kecil;Kg;15100;;;;;;
22/06/2018;Gula Pasir;Kg;13360;;;;;;
22/06/2018;Minyak Goreng Bimoli Botol;Liter;13240;;;;;;
22/06/2018;Beras Premium;Kg;13125;;;;;;
22/06/2018;Minyak Goreng Curah;Liter;12440;;;;;;
22/06/2018;Kacang Kedelai Eks Impor;Kg;12175;;;;;;
22/06/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11600;;;;;;
22/06/2018;Beras Medium;Kg;11080;;;;;;
22/06/2018;Garam Beryodium Halus;Kg;10860;;;;;;
22/06/2018;Kacang Kedelai Lokal;Kg;10733;;;;;;
22/06/2018;Tepung Terigu Segitiga Biru;Kg;10500;;;;;;
22/06/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;9640;;;;;;
22/06/2018;Ketela Pohon;Kg;5400;;;;;;
22/06/2018;Garam Beryodium Bata;250 gr;3960;;;;;;
22/06/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
22/06/2018;Telur Ayam Kampung;butir;2340;;;;;;
25/06/2018;Daging Sapi Lokal Has Dalam;Kg;150000;;;;;;
25/06/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;126667;;;;;;
25/06/2018;Daging Sapi Lokal Paha Belakang;Kg;119660;;;;;;
25/06/2018;Ikan Teri Asin;Kg;105000;;;;;;
25/06/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;96667;;;;;;
25/06/2018;Ayam Kampung;ekor;94433;;;;;;
25/06/2018;Daging Sapi Impor Beku;Kg;85000;;;;;;
25/06/2018;Daging Sapi Lokal Daging Tetelan;Kg;73333;;;;;;
25/06/2018;Susu Bubuk Kaleng Merk Bendera;buah;43933;;;;;;
25/06/2018;Cabai Merah Besar;Kg;42540;;;;;;
25/06/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42267;;;;;;
25/06/2018;Cabai Rawit Merah;Kg;40160;;;;;;
25/06/2018;Ikan Kembung;Kg;38700;;;;;;
25/06/2018;Ayam Boiler;ekor;37140;;;;;;
25/06/2018;Bawang Merah (Medium);Kg;36340;;;;;;
25/06/2018;Bawang Putih Impor (Kating);Kg;34840;;;;;;
25/06/2018;Cabai Rawit Hijau;Kg;33340;;;;;;
25/06/2018;Cabai Merah Kriting;Kg;32140;;;;;;
25/06/2018;Bawang Putih Impor (Honan);Kg;29000;;;;;;
25/06/2018;Kacang Tanah;Kg;25340;;;;;;
25/06/2018;Telur Ayam Ras;Kg;24360;;;;;;
25/06/2018;Kacang Hijau;Kg;22660;;;;;;
25/06/2018;Jagung Pipilan Kecil;Kg;15100;;;;;;
25/06/2018;Minyak Goreng Bimoli Botol;Liter;13440;;;;;;
25/06/2018;Gula Pasir;Kg;13160;;;;;;
25/06/2018;Beras Premium;Kg;12875;;;;;;
25/06/2018;Minyak Goreng Curah;Liter;12300;;;;;;
25/06/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12200;;;;;;
25/06/2018;Kacang Kedelai Eks Impor;Kg;11675;;;;;;
25/06/2018;Kacang Kedelai Lokal;Kg;10733;;;;;;
25/06/2018;Beras Medium;Kg;10720;;;;;;
25/06/2018;Tepung Terigu Segitiga Biru;Kg;10100;;;;;;
25/06/2018;Garam Beryodium Halus;Kg;9760;;;;;;
25/06/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;9540;;;;;;
25/06/2018;Ketela Pohon;Kg;5200;;;;;;
25/06/2018;Garam Beryodium Bata;250 gr;3680;;;;;;
25/06/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
25/06/2018;Telur Ayam Kampung;butir;2240;;;;;;
26/06/2018;Daging Sapi Lokal Has Dalam;Kg;150000;;;;;;
26/06/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;126667;;;;;;
26/06/2018;Daging Sapi Lokal Paha Belakang;Kg;119660;;;;;;
26/06/2018;Ikan Teri Asin;Kg;107000;;;;;;
26/06/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;100000;;;;;;
26/06/2018;Ayam Kampung;ekor;94433;;;;;;
26/06/2018;Daging Sapi Impor Beku;Kg;85000;;;;;;
26/06/2018;Daging Sapi Lokal Daging Tetelan;Kg;76667;;;;;;
26/06/2018;Susu Bubuk Kaleng Merk Bendera;buah;43933;;;;;;
26/06/2018;Cabai Rawit Merah;Kg;43160;;;;;;
26/06/2018;Cabai Merah Besar;Kg;43040;;;;;;
26/06/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42267;;;;;;
26/06/2018;Ikan Kembung;Kg;38700;;;;;;
26/06/2018;Ayam Boiler;ekor;37140;;;;;;
26/06/2018;Bawang Merah (Medium);Kg;37040;;;;;;
26/06/2018;Bawang Putih Impor (Kating);Kg;34340;;;;;;
26/06/2018;Cabai Rawit Hijau;Kg;32840;;;;;;
26/06/2018;Cabai Merah Kriting;Kg;32640;;;;;;
26/06/2018;Bawang Putih Impor (Honan);Kg;29000;;;;;;
26/06/2018;Kacang Tanah;Kg;24890;;;;;;
26/06/2018;Telur Ayam Ras;Kg;24210;;;;;;
26/06/2018;Kacang Hijau;Kg;22460;;;;;;
26/06/2018;Jagung Pipilan Kecil;Kg;15100;;;;;;
26/06/2018;Minyak Goreng Bimoli Botol;Liter;13540;;;;;;
26/06/2018;Gula Pasir;Kg;13160;;;;;;
26/06/2018;Beras Premium;Kg;13000;;;;;;
26/06/2018;Minyak Goreng Curah;Liter;12400;;;;;;
26/06/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12100;;;;;;
26/06/2018;Kacang Kedelai Eks Impor;Kg;11675;;;;;;
26/06/2018;Garam Beryodium Halus;Kg;11260;;;;;;
26/06/2018;Beras Medium;Kg;10820;;;;;;
26/06/2018;Kacang Kedelai Lokal;Kg;10733;;;;;;
26/06/2018;Tepung Terigu Segitiga Biru;Kg;10000;;;;;;
26/06/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;9540;;;;;;
26/06/2018;Ketela Pohon;Kg;5200;;;;;;
26/06/2018;Garam Beryodium Bata;250 gr;3680;;;;;;
26/06/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
26/06/2018;Telur Ayam Kampung;butir;2190;;;;;;
28/06/2018;Daging Sapi Lokal Has Dalam;Kg;151667;;;;;;
28/06/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;131667;;;;;;
28/06/2018;Daging Sapi Lokal Paha Belakang;Kg;122660;;;;;;
28/06/2018;Ikan Teri Asin;Kg;106000;;;;;;
28/06/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;93333;;;;;;
28/06/2018;Ayam Kampung;ekor;87075;;;;;;
28/06/2018;Daging Sapi Impor Beku;Kg;85000;;;;;;
28/06/2018;Daging Sapi Lokal Daging Tetelan;Kg;64167;;;;;;
28/06/2018;Susu Bubuk Kaleng Merk Bendera;buah;43933;;;;;;
28/06/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42267;;;;;;
28/06/2018;Cabai Rawit Merah;Kg;41660;;;;;;
28/06/2018;Cabai Merah Besar;Kg;41540;;;;;;
28/06/2018;Ikan Kembung;Kg;37200;;;;;;
28/06/2018;Bawang Merah (Medium);Kg;36540;;;;;;
28/06/2018;Bawang Putih Impor (Kating);Kg;36340;;;;;;
28/06/2018;Cabai Rawit Hijau;Kg;34340;;;;;;
28/06/2018;Cabai Merah Kriting;Kg;34140;;;;;;
28/06/2018;Ayam Boiler;ekor;33940;;;;;;
28/06/2018;Bawang Putih Impor (Honan);Kg;29000;;;;;;
28/06/2018;Kacang Tanah;Kg;25040;;;;;;
28/06/2018;Telur Ayam Ras;Kg;24160;;;;;;
28/06/2018;Kacang Hijau;Kg;22060;;;;;;
28/06/2018;Jagung Pipilan Kecil;Kg;15100;;;;;;
28/06/2018;Minyak Goreng Bimoli Botol;Liter;13440;;;;;;
28/06/2018;Beras Premium;Kg;13063;;;;;;
28/06/2018;Gula Pasir;Kg;12960;;;;;;
28/06/2018;Kacang Kedelai Eks Impor;Kg;12675;;;;;;
28/06/2018;Minyak Goreng Curah;Liter;12500;;;;;;
28/06/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11600;;;;;;
28/06/2018;Garam Beryodium Halus;Kg;11160;;;;;;
28/06/2018;Beras Medium;Kg;10920;;;;;;
28/06/2018;Kacang Kedelai Lokal;Kg;10733;;;;;;
28/06/2018;Tepung Terigu Segitiga Biru;Kg;10200;;;;;;
28/06/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;9540;;;;;;
28/06/2018;Ketela Pohon;Kg;5200;;;;;;
28/06/2018;Garam Beryodium Bata;250 gr;3680;;;;;;
28/06/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
28/06/2018;Telur Ayam Kampung;butir;2290;;;;;;
29/06/2018;Daging Sapi Lokal Has Dalam;Kg;148333;;;;;;
29/06/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;127500;;;;;;
29/06/2018;Daging Sapi Lokal Paha Belakang;Kg;120160;;;;;;
29/06/2018;Ikan Teri Asin;Kg;103000;;;;;;
29/06/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;100000;;;;;;
29/06/2018;Ayam Kampung;ekor;87767;;;;;;
29/06/2018;Daging Sapi Impor Beku;Kg;85000;;;;;;
29/06/2018;Daging Sapi Lokal Daging Tetelan;Kg;68333;;;;;;
29/06/2018;Cabai Rawit Merah;Kg;45660;;;;;;
29/06/2018;Susu Bubuk Kaleng Merk Bendera;buah;43933;;;;;;
29/06/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42267;;;;;;
29/06/2018;Cabai Merah Besar;Kg;39540;;;;;;
29/06/2018;Bawang Putih Impor (Kating);Kg;38840;;;;;;
29/06/2018;Ikan Kembung;Kg;38700;;;;;;
29/06/2018;Bawang Merah (Medium);Kg;38040;;;;;;
29/06/2018;Ayam Boiler;ekor;35940;;;;;;
29/06/2018;Cabai Merah Kriting;Kg;35140;;;;;;
29/06/2018;Cabai Rawit Hijau;Kg;33340;;;;;;
29/06/2018;Bawang Putih Impor (Honan);Kg;29000;;;;;;
29/06/2018;Kacang Tanah;Kg;25340;;;;;;
29/06/2018;Telur Ayam Ras;Kg;24860;;;;;;
29/06/2018;Kacang Hijau;Kg;22760;;;;;;
29/06/2018;Jagung Pipilan Kecil;Kg;15100;;;;;;
29/06/2018;Minyak Goreng Bimoli Botol;Liter;13440;;;;;;
29/06/2018;Gula Pasir;Kg;13260;;;;;;
29/06/2018;Beras Premium;Kg;12875;;;;;;
29/06/2018;Kacang Kedelai Eks Impor;Kg;12550;;;;;;
29/06/2018;Minyak Goreng Curah;Liter;12300;;;;;;
